id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000002229	786.7677669	0.335943929	0.093586654	3.589656379	0.000331114	0.021442872	ENSRNOG00000002229		protein_coding
ENSRNOG00000053869	1579.29716	0.251800575	0.070052555	3.594452386	0.000325075	0.021396269	ENSRNOG00000053869		protein_coding
ENSRNOG00000060914	1110.161562	0.26712843	0.070901634	3.767592026	0.00016483	0.013246687	ENSRNOG00000060914		protein_coding
ENSRNOG00000013594	703.3593825	-0.305908894	0.078729219	-3.88558273	0.000102085	0.009475187	ENSRNOG00000013594		protein_coding
ENSRNOG00000015080	420.3698651	0.339335833	0.099020647	3.42691998	0.000610469	0.032313175	ENSRNOG00000015080		protein_coding
ENSRNOG00000009222	1394.767425	0.418884152	0.11556494	3.624664656	0.000289337	0.019758844	ENSRNOG00000009222		protein_coding
ENSRNOG00000002908	1538.736466	-0.192475369	0.058759513	-3.275646087	0.001054206	0.048412655	ENSRNOG00000002908		protein_coding
ENSRNOG00000032840	474.2803033	-0.353964818	0.098537637	-3.592178887	0.000327925	0.021396269	ENSRNOG00000032840		protein_coding
ENSRNOG00000011093	499.5489065	-0.272600331	0.081042044	-3.363690235	0.000769078	0.037964231	ENSRNOG00000011093		protein_coding
ENSRNOG00000046227	1459.109132	-0.446481728	0.072273301	-6.177685587	6.50E-10	3.57E-07	ENSRNOG00000046227		protein_coding
ENSRNOG00000042411	164.4155629	0.512455991	0.136815572	3.745596969	0.000179965	0.014203251	ENSRNOG00000042411		protein_coding
ENSRNOG00000009936	1404.420122	0.357506904	0.07273262	4.915358513	8.86E-07	0.00017433	ENSRNOG00000009936		protein_coding
ENSRNOG00000033765	7029.974481	0.137116004	0.039455443	3.475211316	0.000510451	0.028628703	ENSRNOG00000033765		protein_coding
ENSRNOG00000022500	1391.84731	-0.161477644	0.046950985	-3.439281283	0.000583261	0.031377054	ENSRNOG00000022500		protein_coding
ENSRNOG00000018421	962.3934938	0.476498837	0.136042129	3.502582918	0.00046077	0.026753098	ENSRNOG00000018421		protein_coding
ENSRNOG00000002657	578.7999216	-0.327452896	0.084826685	-3.860258085	0.000113267	0.01029561	ENSRNOG00000002657		protein_coding
ENSRNOG00000002653	253.927914	0.779035728	0.216156501	3.604035616	0.000313314	0.020855958	ENSRNOG00000002653		protein_coding
ENSRNOG00000008035	608.2254398	-0.389615103	0.083222021	-4.681634724	2.85E-06	0.00048714	ENSRNOG00000008035		protein_coding
ENSRNOG00000000247	615.7431988	-0.433375874	0.082494616	-5.253383721	1.49E-07	4.02E-05	ENSRNOG00000000247		protein_coding
ENSRNOG00000003407	531.8095229	0.279115254	0.07865332	3.548677354	0.000387171	0.023845402	ENSRNOG00000003407		protein_coding
ENSRNOG00000018659	6830.229023	-0.642027198	0.177815584	-3.610635152	0.000305448	0.020628278	ENSRNOG00000018659		protein_coding
ENSRNOG00000051135	754.2476311	-0.391375154	0.077076182	-5.077770376	3.82E-07	8.25E-05	ENSRNOG00000051135		lincRNA
ENSRNOG00000003840	698.0860097	-0.484039655	0.093681774	-5.166849774	2.38E-07	5.81E-05	ENSRNOG00000003840		protein_coding
ENSRNOG00000037765	1204.719389	-0.243535422	0.06609312	-3.684731789	0.000228944	0.016310684	ENSRNOG00000037765		protein_coding
ENSRNOG00000012237	2194.876644	-0.224450429	0.063502359	-3.53452114	0.000408515	0.0245855	ENSRNOG00000012237		protein_coding
ENSRNOG00000013541	164.8349199	-0.525872835	0.136111493	-3.86354468	0.000111753	0.010228544	ENSRNOG00000013541		protein_coding
ENSRNOG00000010165	2057.094102	-0.299612041	0.065208674	-4.594665414	4.33E-06	0.000705283	ENSRNOG00000010165		protein_coding
ENSRNOG00000021143	1004.106296	-0.270469042	0.065411499	-4.134885246	3.55E-05	0.003933311	ENSRNOG00000021143		protein_coding
ENSRNOG00000020893	1623.361212	-0.245015784	0.070940563	-3.45381789	0.00055271	0.030227071	ENSRNOG00000020893		protein_coding
ENSRNOG00000019892	4601.47856	0.413126895	0.074406402	5.552303099	2.82E-08	1.06E-05	ENSRNOG00000019892		protein_coding
ENSRNOG00000055391	651.6305821	-0.352248188	0.088398024	-3.984797082	6.75E-05	0.006692845	ENSRNOG00000055391		protein_coding
ENSRNOG00000060869	2266.769732	-0.277952257	0.051904077	-5.355114165	8.55E-08	2.62E-05	ENSRNOG00000060869		protein_coding
ENSRNOG00000003486	909.1618233	-1.519728361	0.304363078	-4.993142957	5.94E-07	0.000126283	ENSRNOG00000003486		protein_coding
ENSRNOG00000052393	497.2895829	-0.305703616	0.082444347	-3.707999722	0.000208903	0.015492266	ENSRNOG00000052393		protein_coding
ENSRNOG00000008825	4551.356151	-0.247709578	0.057364668	-4.318155867	1.57E-05	0.002073719	ENSRNOG00000008825		protein_coding
ENSRNOG00000051158	210.0078936	-8.770891712	2.01388404	-4.355211888	1.33E-05	0.001787884	ENSRNOG00000051158		protein_coding
ENSRNOG00000019649	2282.380029	-0.193593925	0.058606097	-3.303306896	0.000955518	0.045138785	ENSRNOG00000019649		protein_coding
ENSRNOG00000000664	836.561424	0.277285117	0.078233611	3.544322117	0.000393624	0.024124605	ENSRNOG00000000664		protein_coding
ENSRNOG00000055222	351.0197544	24.01242894	4.247334388	5.653529189	1.57E-08	6.09E-06	ENSRNOG00000055222		protein_coding
ENSRNOG00000014835	7908.284001	-0.950991458	0.212021905	-4.485345317	7.28E-06	0.001090285	ENSRNOG00000014835		protein_coding
ENSRNOG00000061424	1325.269317	-0.393608719	0.060310349	-6.526387665	6.74E-11	6.34E-08	ENSRNOG00000061424		protein_coding
ENSRNOG00000001875	677.3509789	-0.318120525	0.075235548	-4.228327329	2.35E-05	0.002774044	ENSRNOG00000001875		protein_coding
ENSRNOG00000015987	1456.696376	-0.295030794	0.072389957	-4.075576303	4.59E-05	0.004839752	ENSRNOG00000015987		protein_coding
ENSRNOG00000013135	1869.976516	-0.20803918	0.059523096	-3.495100147	0.000473884	0.027038052	ENSRNOG00000013135		protein_coding
ENSRNOG00000031266	197.1782605	-1.259831423	0.199692576	-6.308854568	2.81E-10	1.95E-07	ENSRNOG00000031266		protein_coding
ENSRNOG00000024923	126.3131106	-0.761766684	0.204409687	-3.726666265	0.000194029	0.014613163	ENSRNOG00000024923		protein_coding
ENSRNOG00000008945	2535.924553	-0.148526289	0.044953144	-3.30402448	0.000953075	0.045138785	ENSRNOG00000008945		protein_coding
ENSRNOG00000058011	821.7818974	-0.279147858	0.078353958	-3.562651657	0.000367128	0.022839157	ENSRNOG00000058011		pseudogene
