id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000031053	12970.32853	-0.495609323	0.121745957	-4.070848315	4.68E-05	0.031467579	ENSRNOG00000031053		protein_coding
ENSRNOG00000029971	68210.23525	-0.498346685	0.131521406	-3.78909182	0.000151199	0.049797448	ENSRNOG00000029971		protein_coding
ENSRNOG00000060728	18615.37312	-0.129034377	0.033490063	-3.852915367	0.00011672	0.049797448	ENSRNOG00000060728		protein_coding
ENSRNOG00000010479	1563.501938	0.248902957	0.06627613	3.75554453	0.000172965	0.049797448	ENSRNOG00000010479		protein_coding
ENSRNOG00000028585	2633.923379	-0.25548919	0.059154914	-4.318985042	1.57E-05	0.018954017	ENSRNOG00000028585		protein_coding
ENSRNOG00000031579	2626.648896	-0.207514684	0.055175369	-3.761002179	0.000169234	0.049797448	ENSRNOG00000031579		protein_coding
ENSRNOG00000030644	86861.70025	-0.327167083	0.071452993	-4.578773693	4.68E-06	0.009425913	ENSRNOG00000030644		protein_coding
ENSRNOG00000005828	8351.773222	-0.134672369	0.034712754	-3.879622157	0.000104619	0.049612747	ENSRNOG00000005828		protein_coding
ENSRNOG00000000413	15052.21229	-0.309032843	0.07118717	-4.341131184	1.42E-05	0.018954017	ENSRNOG00000000413		protein_coding
ENSRNOG00000033615	15921.66282	-0.491925592	0.116288164	-4.230229236	2.33E-05	0.019303146	ENSRNOG00000033615		protein_coding
ENSRNOG00000058589	5586.300788	-0.535424129	0.126977955	-4.216669948	2.48E-05	0.019303146	ENSRNOG00000058589		protein_coding
ENSRNOG00000018840	1088.126113	0.241172788	0.062240036	3.87488188	0.000106676	0.049612747	ENSRNOG00000018840		protein_coding
ENSRNOG00000005157	8169.198403	-0.134829453	0.034081059	-3.956140336	7.62E-05	0.041866036	ENSRNOG00000005157		protein_coding
ENSRNOG00000033299	13864.28326	-0.501013168	0.095680173	-5.236332175	1.64E-07	0.000495165	ENSRNOG00000033299		protein_coding
ENSRNOG00000030371	110595.1523	-0.400845832	0.071795378	-5.58317041	2.36E-08	0.00014279	ENSRNOG00000030371		protein_coding
ENSRNOG00000015417	1408.739863	0.329940711	0.087804633	3.757668601	0.000171504	0.049797448	ENSRNOG00000015417		protein_coding
ENSRNOG00000030700	148728.4453	-0.402156038	0.106191252	-3.787091981	0.000152421	0.049797448	ENSRNOG00000030700		protein_coding
ENSRNOG00000030418	2832.650154	-0.168574256	0.0421573	-3.998696702	6.37E-05	0.038508326	ENSRNOG00000030418		protein_coding
ENSRNOG00000011339	2502.413961	0.179465734	0.04772589	3.760343384	0.00016968	0.049797448	ENSRNOG00000011339		protein_coding
ENSRNOG00000029707	74819.3291	-0.453581362	0.107740091	-4.209958958	2.55E-05	0.019303146	ENSRNOG00000029707		protein_coding
ENSRNOG00000011763	4118.761677	-0.153947677	0.040479747	-3.803078981	0.000142909	0.049797448	ENSRNOG00000011763		protein_coding
