id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000006961	2910.556168	-0.471914621	0.035892716	-13.14792159	1.75E-39	1.15E-35	ENSRNOG00000006961		protein_coding
ENSRNOG00000002926	2860.389237	-0.825237358	0.082554542	-9.996268414	1.58E-23	6.95E-20	ENSRNOG00000002926		protein_coding
ENSRNOG00000017751	3810.88666	-0.452481989	0.04797302	-9.432009711	4.02E-21	1.06E-17	ENSRNOG00000017751		protein_coding
ENSRNOG00000031342	564.1408452	-0.860181471	0.09865177	-8.719371878	2.80E-18	6.15E-15	ENSRNOG00000031342		processed_pseudogene
ENSRNOG00000014879	1037.971406	-0.668563539	0.077740113	-8.599981609	7.97E-18	1.50E-14	ENSRNOG00000014879		protein_coding
ENSRNOG00000009381	4982.001349	-0.3714251	0.049348755	-7.526534333	5.21E-14	6.87E-11	ENSRNOG00000009381		protein_coding
ENSRNOG00000015442	1539.374187	-0.538140256	0.080658588	-6.671828361	2.53E-11	2.77E-08	ENSRNOG00000015442		protein_coding
ENSRNOG00000028330	115.6091108	-22.54565596	3.399459388	-6.632129816	3.31E-11	3.35E-08	ENSRNOG00000028330		pseudogene
ENSRNOG00000061424	1325.269317	-0.393608719	0.060310349	-6.526387665	6.74E-11	6.34E-08	ENSRNOG00000061424		protein_coding
ENSRNOG00000009512	1702.840139	-0.533779139	0.082195555	-6.494014662	8.36E-11	7.34E-08	ENSRNOG00000009512		protein_coding
ENSRNOG00000047276	2922.278673	-27.36032036	4.247170109	-6.442011894	1.18E-10	9.71E-08	ENSRNOG00000047276		protein_coding
ENSRNOG00000055309	553.2488282	-0.507204855	0.079143404	-6.40868129	1.47E-10	1.14E-07	ENSRNOG00000055309		protein_coding
ENSRNOG00000010543	4169.201939	-0.29892372	0.047030921	-6.355897691	2.07E-10	1.52E-07	ENSRNOG00000010543		protein_coding
ENSRNOG00000031266	197.1782605	-1.259831423	0.199692576	-6.308854568	2.81E-10	1.95E-07	ENSRNOG00000031266		protein_coding
ENSRNOG00000014058	1732.294516	-0.351876429	0.056690372	-6.206987445	5.40E-10	3.20E-07	ENSRNOG00000014058		protein_coding
ENSRNOG00000046227	1459.109132	-0.446481728	0.072273301	-6.177685587	6.50E-10	3.57E-07	ENSRNOG00000046227		protein_coding
ENSRNOG00000013971	1731.482936	-0.531586394	0.087001359	-6.110093002	9.96E-10	5.25E-07	ENSRNOG00000013971		protein_coding
ENSRNOG00000004908	2395.541856	-0.365175603	0.062555933	-5.837585425	5.30E-09	2.59E-06	ENSRNOG00000004908		protein_coding
ENSRNOG00000000239	3264.67866	-1.535154123	0.264802383	-5.79735766	6.74E-09	3.06E-06	ENSRNOG00000000239		protein_coding
ENSRNOG00000013634	495.7549042	-0.678485446	0.117658867	-5.766547486	8.09E-09	3.44E-06	ENSRNOG00000013634		protein_coding
ENSRNOG00000007492	10734.32702	-0.186348364	0.032444626	-5.743581825	9.27E-09	3.82E-06	ENSRNOG00000007492		protein_coding
ENSRNOG00000003120	5128.575673	-0.688457145	0.120898299	-5.694514746	1.24E-08	4.94E-06	ENSRNOG00000003120		protein_coding
ENSRNOG00000016299	1001.93604	-0.647874947	0.116865613	-5.543760292	2.96E-08	1.08E-05	ENSRNOG00000016299		protein_coding
ENSRNOG00000032436	1118.799438	-0.41053406	0.074753235	-5.491856761	3.98E-08	1.42E-05	ENSRNOG00000032436		protein_coding
ENSRNOG00000021245	367.0169382	-0.474271949	0.086680283	-5.471508984	4.46E-08	1.51E-05	ENSRNOG00000021245		protein_coding
ENSRNOG00000005975	3075.36078	-0.429894422	0.079144859	-5.431741618	5.58E-08	1.84E-05	ENSRNOG00000005975		protein_coding
ENSRNOG00000018068	46.80520815	-22.97506783	4.247953546	-5.408502607	6.36E-08	2.04E-05	ENSRNOG00000018068		processed_pseudogene
ENSRNOG00000004742	1243.779264	-0.310640695	0.057490488	-5.403340713	6.54E-08	2.05E-05	ENSRNOG00000004742		protein_coding
ENSRNOG00000060869	2266.769732	-0.277952257	0.051904077	-5.355114165	8.55E-08	2.62E-05	ENSRNOG00000060869		protein_coding
ENSRNOG00000050864	636.0910925	-0.397680664	0.075289349	-5.282030875	1.28E-07	3.58E-05	ENSRNOG00000050864		protein_coding
ENSRNOG00000046990	636.00011	-0.396964733	0.075239811	-5.275993259	1.32E-07	3.63E-05	ENSRNOG00000046990		protein_coding
ENSRNOG00000000247	615.7431988	-0.433375874	0.082494616	-5.253383721	1.49E-07	4.02E-05	ENSRNOG00000000247		protein_coding
ENSRNOG00000032825	3717.040564	-0.428362124	0.081925051	-5.228707456	1.71E-07	4.48E-05	ENSRNOG00000032825		protein_coding
ENSRNOG00000010362	27622.82122	-0.283748317	0.054297402	-5.225817587	1.73E-07	4.48E-05	ENSRNOG00000010362		protein_coding
ENSRNOG00000009894	670.4903732	-0.46713856	0.090102567	-5.184519995	2.17E-07	5.49E-05	ENSRNOG00000009894		protein_coding
ENSRNOG00000030055	2556.08936	-0.394314228	0.076163566	-5.177202811	2.25E-07	5.60E-05	ENSRNOG00000030055		protein_coding
ENSRNOG00000003840	698.0860097	-0.484039655	0.093681774	-5.166849774	2.38E-07	5.81E-05	ENSRNOG00000003840		protein_coding
ENSRNOG00000011461	669.00114	-0.412609803	0.080221398	-5.14338835	2.70E-07	6.47E-05	ENSRNOG00000011461		protein_coding
ENSRNOG00000003014	1406.92679	-0.460079459	0.089569438	-5.136567449	2.80E-07	6.59E-05	ENSRNOG00000003014		protein_coding
ENSRNOG00000006779	868.2245759	-0.536907183	0.105453873	-5.091393705	3.55E-07	8.08E-05	ENSRNOG00000006779		protein_coding
ENSRNOG00000002642	4990.662744	-0.259833123	0.051128546	-5.081958011	3.74E-07	8.21E-05	ENSRNOG00000002642		protein_coding
ENSRNOG00000051135	754.2476311	-0.391375154	0.077076182	-5.077770376	3.82E-07	8.25E-05	ENSRNOG00000051135		lincRNA
ENSRNOG00000003486	909.1618233	-1.519728361	0.304363078	-4.993142957	5.94E-07	0.000126283	ENSRNOG00000003486		protein_coding
ENSRNOG00000022619	21207.11495	-0.195327383	0.039441957	-4.952274069	7.34E-07	0.000153455	ENSRNOG00000022619		protein_coding
ENSRNOG00000007048	1687.352965	-0.374622009	0.075851367	-4.938895948	7.86E-07	0.000161385	ENSRNOG00000007048		protein_coding
ENSRNOG00000024144	1982.130639	-0.22824739	0.046299315	-4.929822187	8.23E-07	0.00016436	ENSRNOG00000024144		protein_coding
ENSRNOG00000012360	1377.188141	-0.233489851	0.048851661	-4.779568336	1.76E-06	0.000330765	ENSRNOG00000012360		protein_coding
ENSRNOG00000050519	12627.32201	-0.172930213	0.036722043	-4.709166431	2.49E-06	0.000443012	ENSRNOG00000050519		protein_coding
ENSRNOG00000008193	1709.651994	-0.325295707	0.069317919	-4.692808295	2.69E-06	0.000467335	ENSRNOG00000008193		protein_coding
ENSRNOG00000008035	608.2254398	-0.389615103	0.083222021	-4.681634724	2.85E-06	0.00048714	ENSRNOG00000008035		protein_coding
ENSRNOG00000007159	8222.62555	-1.126359317	0.241266978	-4.668518356	3.03E-06	0.000512634	ENSRNOG00000007159		protein_coding
