id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000018840	1088.126113	0.241172788	0.062240036	3.87488188	0.000106676	0.049612747	ENSRNOG00000018840		protein_coding
ENSRNOG00000010479	1563.501938	0.248902957	0.06627613	3.75554453	0.000172965	0.049797448	ENSRNOG00000010479		protein_coding
ENSRNOG00000015417	1408.739863	0.329940711	0.087804633	3.757668601	0.000171504	0.049797448	ENSRNOG00000015417		protein_coding
ENSRNOG00000011339	2502.413961	0.179465734	0.04772589	3.760343384	0.00016968	0.049797448	ENSRNOG00000011339		protein_coding
ENSRNOG00000019968	1407.348978	0.194771232	0.054613874	3.566332487	0.000362012	0.087548989	ENSRNOG00000019968		protein_coding
ENSRNOG00000020683	3886.769651	0.103191143	0.031241907	3.302972025	0.000956659	0.197684876	ENSRNOG00000020683		protein_coding
ENSRNOG00000006116	1990.814765	0.318281069	0.096567402	3.295947306	0.000980904	0.197684876	ENSRNOG00000006116		protein_coding
ENSRNOG00000047513	1505.655406	0.255802084	0.077316413	3.308509479	0.00093794	0.197684876	ENSRNOG00000047513		protein_coding
ENSRNOG00000032034	3737.815479	0.12292334	0.037696314	3.260884852	0.001110651	0.209843686	ENSRNOG00000032034		protein_coding
ENSRNOG00000017941	871.7932211	0.543551867	0.168009802	3.235239025	0.001215409	0.215488635	ENSRNOG00000017941		protein_coding
ENSRNOG00000003243	713.9447273	0.23575528	0.073038955	3.227801917	0.001247453	0.215488635	ENSRNOG00000003243		protein_coding
ENSRNOG00000004063	921.0618609	0.194635012	0.062676246	3.105403161	0.001900198	0.287214974	ENSRNOG00000004063		protein_coding
ENSRNOG00000060154	2767.967199	0.175999699	0.056982688	3.088652121	0.002010667	0.296499861	ENSRNOG00000060154		protein_coding
ENSRNOG00000008924	1981.661184	0.146100025	0.048073513	3.039096063	0.002372892	0.328117199	ENSRNOG00000008924		protein_coding
ENSRNOG00000052840	778.4956845	0.250822871	0.082583642	3.037197976	0.002387886	0.328117199	ENSRNOG00000052840		protein_coding
ENSRNOG00000050282	2290.17262	0.187286326	0.063526888	2.948142644	0.003196895	0.393335984	ENSRNOG00000050282		protein_coding
ENSRNOG00000031544	3118.355144	0.162185699	0.055109873	2.942951792	0.00325099	0.393335984	ENSRNOG00000031544		protein_coding
ENSRNOG00000001312	872.7748665	0.240980049	0.083661399	2.880420969	0.003971445	0.461756862	ENSRNOG00000001312		protein_coding
