Ensembl_GeneID	Entrez_GeneID	HGNC_GeneSymbol	Inhi_GeneExpression_log2FPKM	Prec_GeneExpression_log2FPKM	ScrInhi_GeneExpression_log2FPKM	ScrPrec_GeneExpression_log2FPKM
ENSRNOG00000013271	64831	Ireb2	4.56732919873	4.52942138055718	4.58178649966223	4.41855162193122
ENSRNOG00000013279	681458	LOC681458	0.0617544085262897	0	0.0188146143087657	0.497851209466662
ENSRNOG00000005059	100911917	LOC100911917	2.39488806130209	2.405795715196	1.8915259326863	2.36609806913979
ENSRNOG00000002229	64532	Adcy5	2.97922425044729	3.30596701928492	2.95102023024732	3.01446306097497
ENSRNOG00000002227	64030	Kit	1.88733685443733	1.92743118988429	1.85494825289975	1.89761577653745
ENSRNOG00000002224	364147	Yipf7	4.51844352477186	4.31726488172269	4.69669694316642	4.45037688422507
ENSRNOG00000002225	117106	Scarb2	5.74970349800439	5.43289257316717	5.62632335954383	5.57188497789372
ENSRNOG00000042918	309810	RGD1304770	0.178227145501215	0.134077740435804	0.0712678442655392	0.0710587458715645
ENSRNOG00000014808	291469	Srfbp1	3.06177317946546	3.0236934500698	3.07795452961576	3.04685531212877
ENSRNOG00000042912	494192	Mycbpap	1.27955757127454	1.54591528988248	1.28140683393805	1.35073862169286
ENSRNOG00000042915	690599	Mxra7	4.57042013969533	4.64536584458698	4.58168616399063	4.63489068963345
ENSRNOG00000042916	259218	Rwdd1	5.22774282144205	5.34385337900579	5.26370703714416	5.31995155892805
ENSRNOG00000046533	100364335		5.76046709080692	5.6769912521872	5.81528642348988	5.7708924601126
ENSRNOG00000005943	299499	Sp8	0	0	0	0
ENSRNOG00000005947	114248	Pde6h	0	0	0	0
ENSRNOG00000005944	300016	Slurp1	0	0	0	0
ENSRNOG00000005053	54702	Egln3	6.0010415455196	6.06601294117744	5.87955946858408	5.98620466974615
ENSRNOG00000030012	297584	Clec4a2	0.0706360908312043	0.036068180785161	0	0
ENSRNOG00000030016	315564	Robo3	0	0	0	0
ENSRNOG00000030017	306274	Ercc6	1.6789152230845	1.78158655760079	1.61916970421711	1.67773729845769
ENSRNOG00000030018	171290	Gzmc	0	0	0	0
ENSRNOG00000030019	24211	Atp1a1	7.71094476991024	7.79882492007108	7.68338879429743	7.74364253085565
ENSRNOG00000057803	100909439	LOC100909439	0	0	0	0
ENSRNOG00000057806	679906	Trpm7	4.17031138518146	4.15884462769105	4.22108137594866	4.10273885501975
ENSRNOG00000031763	405112	Olr427	0	0	0	0
ENSRNOG00000031766	26192	Mt-cyb	12.1694636309485	12.7163874955019	12.5871645330911	12.7892600390441
ENSRNOG00000031769	684258	Chchd7	4.76703155672488	4.69562369531389	4.90861402683368	4.70921165746398
ENSRNOG00000029814	314615	Prtn3	0	0.0442032059328087	0	0.0485227768750429
ENSRNOG00000029811	171138	Kcne2	0.188401854811114	0.209604912403888	0.159207545097559	0.223498016196812
ENSRNOG00000040404	100314288	Mir465	0	0	0	0
ENSRNOG00000040406	100314212	Mir496	0	0	0	0
ENSRNOG00000038574	65053	Rassf9	0.173129904216941	0.236770905069	0.190700642486737	0.164441859565358
ENSRNOG00000038572	305392	Ncapg	3.85902032382748	3.73099584669676	3.97206876006424	3.91040173333968
ENSRNOG00000040402	100314104	Mir301b	0	0	0	0
ENSRNOG00000015541	60449	Gnb3	0.709031874794211	0.795687672471599	0.7607398481077	0.905460487495899
ENSRNOG00000015540	309144	Ppp6r3	4.31554204601301	4.20074699149678	4.37472313459463	4.34231140084045
ENSRNOG00000015546	498830	MGC116121	3.24630413911968	3.04797013749045	3.17153465040578	3.20893232448473
ENSRNOG00000015544	100909441	LOC100909441	8.03268479966286	8.11177564417839	8.10416818082194	8.14627651526513
ENSRNOG00000011653	297530	Washc2c	4.04404655117928	4.04794464013466	4.01352256719416	3.95969819676066
